Stock,Ticker,currentPrice,marketCap,trailingPE,priceToBook,returnOnEquity,debtToEquity,trailingEps,revenueGrowth,earningsGrowth,dividendYield,fiftyTwoWeekHigh,fiftyTwoWeekLow,ROCE,Promoter_Holding,Rev_CAGR_3Y,PAT_CAGR_3Y,OPM,Valuation,Profitability,Growth,Financial_Health,Ownership,FA_Score
TCS,TCS.NS,2199.0,7956174209024,16.170305,7.4190283,48.395002,10.389,135.99,9.6,12.2,5.74,3538.0,2110.0,63.0,71.8,6.0,8.0,27.0,4.666666666666667,13.46153846153846,6.749999999999999,2.692307692307692,5.0,32.6
Infosys,INFY.NS,1143.6,4629984706560,15.039453,4.964113,31.439,9.827,76.04,6.6000000000000005,11.799999999999999,4.41,1728.0,1089.0,40.0,14.4,7.0,8.0,24.0,6.333333333333333,12.41025641025641,6.374999999999999,3.076923076923077,1.6666666666666665,29.9
Sun_Pharma,SUNPHARMA.NS,1800.7,4320482295808,37.62432,5.1751986,14.719999999999999,5.517,47.86,12.8,25.6,0.89,1916.6,1548.0,20.5,54.5,10.0,13.0,30.0,2.3333333333333335,10.564102564102564,9.25,3.4615384615384617,4.0,29.6
Maruti,MARUTI.NS,13691.0,4304485482496,29.341421,4.0169973,14.434,0.096,466.61,28.199999999999996,-6.4,1.01,17370.0,12201.0,19.0,58.5,16.0,30.0,12.0,3.666666666666667,6.435897435897435,10.250000000000002,4.615384615384616,4.333333333333334,29.3
Mahindra&Mahindra,M&M.NS,3137.9,3767871733760,20.599356,3.7664533,18.754,125.066,152.33,30.9,44.800000000000004,1.05,3839.9,2896.0,15.4,18.4,18.0,24.0,19.0,5.333333333333333,8.115384615384617,12.75,0.0,2.0,28.2
ICICI_Bank,ICICIBANK.NS,1334.3,9568811745280,17.852556,2.6318283,16.359,,74.74,66.9,8.4,0.83,1500.0,1187.6,7.2,0.0,17.0,17.0,,6.333333333333333,6.5,10.875,2.5,0.8333333333333333,27.0
Airtel,BHARTIARTL.NS,1853.0,11287497015296,41.762455,7.267522,19.358998999999997,99.718,44.37,15.7,-34.0,0.87,2174.5,1740.5,18.5,48.9,15.0,49.0,57.0,1.6666666666666663,11.666666666666664,9.75,0.7692307692307693,3.0,26.9
HUL,HINDUNILVR.NS,2199.9,5168865738752,48.584362,10.605198,21.603,3.016,45.28,4.3,21.4,2.04,2750.0,2022.5,28.4,61.9,2.0,14.0,23.0,0.33333333333333326,10.692307692307693,6.374999999999999,4.230769230769231,4.666666666666667,26.3
NTPC,NTPC.NS,355.55,3447649730560,11.672686,1.6975898,13.694999999999999,118.127,30.46,8.0,-1.6,3.26,414.4,315.55,8.33,51.1,2.0,17.0,28.0,9.333333333333334,6.846153846153847,6.0,0.38461538461538436,3.6666666666666665,26.2
ITC,ITC.NS,291.65,3654219464704,17.675756,5.0400925,29.34,3.292,16.5,-5.0,-72.7,5.56,427.0,275.05,38.9,0.0,4.0,3.0,35.0,5.0,13.282051282051283,2.625,3.846153846153846,0.8333333333333333,25.6
HDFC_Bank,HDFCBANK.NS,784.9,12085531508736,17.500559,2.061685,13.818,,44.85,-1.7999999999999998,7.5,1.67,1020.5,726.65,7.04,0.0,27.0,18.0,,7.666666666666667,5.166666666666667,8.749999999999998,2.5,0.8333333333333333,24.9
Tata_Steel,TATASTEEL.NS,196.0,2444482314240,22.685184,2.3948584,11.156998999999999,89.017,8.64,12.5,125.2,2.03,224.4,150.48,12.5,33.2,-2.0,10.0,15.0,5.666666666666666,4.153846153846154,7.375,1.1538461538461537,2.6666666666666665,21.0
Reliance,RELIANCE.NS,1328.8,17981950132224,22.246778,1.9890877,9.139,36.653,59.73,12.5,-12.6,0.46,1611.8,1253.2,10.3,50.0,6.0,3.0,17.0,6.666666666666668,3.8717948717948723,5.125,1.5384615384615385,3.333333333333333,20.5
Eternal,Eternal.NS,253.6,2331571126272,667.36847,7.496527,1.194,14.826,0.38,196.5,375.0,,368.45,212.6,2.97,0.0,97.0,33.0,2.0,0.33333333333333326,1.0512820512820513,14.75,2.307692307692308,0.8333333333333333,19.3
Dr_Reddys,DRREDDY.NS,1276.9,1063279132672,24.823095,2.8198595,11.834999999999999,20.328,51.44,-11.600000000000001,-86.2,0.63,1375.9,1148.4,13.6,26.6,11.0,-3.0,19.0,4.666666666666667,5.782051282051282,2.9999999999999996,1.923076923076923,2.3333333333333335,17.7
