Stock,FA_Score,Close,RSI_14,TA_Score,TA_Signal,Total_Score,Signal,Conviction,Reasoning
Maruti,29.3,13691.0,62.54,37.5,BUY,66.8,BUY,Aligned Bullish,"Moderate fundamentals, strong technicals."
Mahindra&Mahindra,28.2,3137.9,55.79,37.5,BUY,65.7,BUY,Aligned Bullish,"Moderate fundamentals, strong technicals."
ICICI_Bank,27.0,1334.3,64.03,37.5,BUY,64.5,HOLD,Aligned Bullish,"Moderate fundamentals, strong technicals."
Airtel,26.9,1853.0,54.58,32.5,HOLD,59.4,HOLD,Aligned Bullish,"Moderate fundamentals, strong technicals."
HDFC_Bank,24.9,784.9,59.96,32.5,HOLD,57.4,HOLD,Mixed (TA-led),"Moderate fundamentals, strong technicals."
Eternal,19.3,253.6,54.83,32.5,HOLD,51.8,HOLD,Mixed (TA-led),"Weak fundamentals, strong technicals."
HUL,26.3,2199.9,53.8,25.0,HOLD,51.3,HOLD,Aligned Bullish,"Moderate fundamentals, moderate technicals."
Sun_Pharma,29.6,1800.7,48.52,21.0,HOLD,50.6,HOLD,Mixed (FA-led),"Moderate fundamentals, moderate technicals."
ITC,25.6,291.65,54.02,25.0,HOLD,50.6,HOLD,Aligned Bullish,"Moderate fundamentals, moderate technicals."
Reliance,20.5,1328.8,52.63,30.0,HOLD,50.5,HOLD,Mixed (TA-led),"Moderate fundamentals, strong technicals."
NTPC,26.2,355.55,34.2,18.5,SELL,44.7,HOLD,Mixed (FA-led),"Moderate fundamentals, weak technicals."
TCS,32.6,2199.0,43.52,6.0,SELL,38.6,SELL,Mixed (FA-led),"Strong fundamentals, weak technicals."
Infosys,29.9,1143.6,47.18,6.0,SELL,35.9,SELL,Mixed (FA-led),"Moderate fundamentals, weak technicals."
Tata_Steel,21.0,196.0,38.59,13.5,SELL,34.5,SELL,Aligned Bearish,"Moderate fundamentals, weak technicals."
Dr_Reddys,17.7,1276.9,45.84,13.5,SELL,31.2,SELL,Aligned Bearish,"Weak fundamentals, weak technicals."
